Country,Beta0 (Coeff),Beta1 (Population),e0 (Coeff),e1 (Population),t0 (Coeff),t1 (Population),95%% Coeff. Int (Coeff),95%% Coeff. Int (Population)
Brazil,13.8064816975,0.562212679568,18.0441597518,1.41770729101,0.765149604494,0.396564709184,"[-30.3459866006, 57.9589499957]","[-2.90679208892, 4.03121744806]"
Canada,-2.72725448448,1.90109277612,12.4286094972,0.913185499582,-0.219433596742,2.08182540895,"[-33.1389663273, 27.6844573583]","[-0.333391642953, 4.13557719519]"
China,25.8489995529,-0.332252966798,10.2705743437,0.70747756824,2.51680175692,-0.469630390719,"[0.717809497352, 50.9801896085]","[-2.06338821128, 1.39888227768]"
Germany,-68.8337572713,6.74764778363,19.3496018117,1.45078314962,-3.55737332175,4.65103815506,"[-116.180527214, -21.4869873289]","[3.19770930478, 10.2975862625]"
Mexico,70.5826177081,-2.90895596832,51.9752751712,3.19678218574,1.35800373304,-0.909963769596,"[-56.5962989525, 197.761534369]","[-10.7312001766, 4.91328823998]"
Poland,50.0754997084,-2.26558956351,13.6013678356,1.04181549682,3.68165175104,-2.17465527286,"[16.7941515917, 83.3568478251]","[-4.81482024694, 0.283641119922]"
Vietnam,48.5641400694,-2.065638714,21.5584175666,1.54341310269,2.25267647402,-1.33835763762,"[-4.18740731561, 101.315687454]","[-5.84223452256, 1.71095709456]"
