Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Lithuania,1.70365569635,1.53686564684,1.49231973001,1.17369406239,1.25609983823,0.718008237336,0.624162792924,0.366585671951,0.240840162952,0.164066788355,0.122740033459,0.0847903733088,0.0925986482461,0.113584807239,0.102012333322,0.139185674259,0.314411680306,0.298016960233,0.284411386913,0.306208902769
Slovenia,1.02771075146,1.23817726419,0.889969760185,0.717108899038,0.684508414696,0.438052848794,0.431777583828,0.398596059959,0.183751435574,0.192759488774,0.180659077988,0.144046279889,0.108504320811,0.140921537065,0.137016156066,0.149243799835,0.196778175001,0.260476280884,0.148985571353,0.102842991071
Bosnia and Herzegovina,1.00389789664,0.940662674743,1.36474858999,1.16770993644,0.950925323032,0.853787162442,0.564627831871,0.748359635908,0.289998100821,0.185867161706,0.189265130949,0.147376634855,0.140945514117,0.13606898393,0.130211245864,0.139522929075,0.133309237557,0.146232868402,0.142945663358,0.128647671564
Germany,0.958054151321,0.919533797636,0.830283076573,0.754598705105,0.556582315313,0.42454244891,0.332214121989,0.302724345123,0.255579875758,0.314786999417,0.233832913031,0.242032545025,0.119914730918,0.103804306572,0.070732745682,0.0621213327668,0.0568948155748,0.0625215719763,0.0493909458358,0.0314595524961,0.0291544502175
Armenia,1.94717167318,1.69279084494,1.35668229998,1.14904151284,1.24259656173,1.11536301351,0.71087801711,0.675710636166,0.196688990297,0.17057893474,0.189012346818,0.122753757747,0.116787324357,0.115145518621,0.0507830820807,0.049545339098,0.0634684534489,0.0702231532463,0.0940562106909,0.0905682962169
Albania,1.99302437663,1.94075548111,1.75830860028,1.72592762451,1.67844850183,1.40313093362,0.594455935229,0.313848178158,0.266179525087,0.153012398162,0.106085711309,0.0727425933718,0.0970999173086,0.102842014586,0.0983201442067,0.11440318061,0.125932214427,0.112385390189,0.095883660434,0.0802170666541,0.121230263519
Finland,0.988474398988,0.93610498981,0.851112321008,0.778064977645,0.697247710682,0.574287874414,0.428298538986,0.456601955393,0.456212727815,0.265448721773,0.219709298522,0.146592245477,0.0990142753115,0.105840981863,0.0878203630279,0.0777306902035,0.0786688152485,0.0732674730664,0.0747505284993,0.0800554285838,0.070188288033
Azerbaijan,1.74478326581,1.46533409306,0.539748571932,0.374135231504,0.691245535175,0.643757294251,0.668934614899,0.441192441053,0.242180788364,0.105879984121,0.0829313941874,0.127181978949,0.145697438537,0.115377845248,0.0853971802614,0.0865048553646,0.126560245781,0.147794156929,0.174707516361,0.200116994753
Belarus,1.74660318523,1.51556399394,1.42035663261,1.16896364555,1.03314993637,0.526146741246,0.702664426691,0.637975370616,0.337148712885,0.17510544453,0.169699215968,0.156071010738,0.124902143258,0.178784474775,0.162744082122,0.155564714112,0.18857433905,0.206830670187,0.172757208703,0.219855224196
Hungary,1.09171201998,1.07710115176,0.974656807865,0.947614717123,0.884613967571,0.732168740498,0.584559231795,0.413985540164,0.345437176428,0.218290846245,0.182711274425,0.173467839064,0.120974426572,0.105334360124,0.106866661778,0.0874911640642,0.0799809097659,0.0880415714503,0.0695361034387,0.0546589285531,0.0507190420633
