Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Belgium,75505888.0,89352266.0,97087571.0,112525545.0,139776930.0,150448506.0,139862455.0,181299787.0,125643255.0,144992876.0,214987131.0,181767709.0,347555310.0,286701733.0,200617992.0,342601965.0,323333965.0,274201404.0,252787775.0,251824775.0,422599901.0
Georgia,562476.0,840302.0,1613521.0,3617164.0,7132294.0,5660608.0,9752261.0,4837411.0,10169096.0,11416993.0,30997467.0,54930400.0,24691118.0,38127194.0,42470642.0,74666679.0,56975082.0,18149475.0,12807121.0,13258155.0
Denmark,37916676.0,42692686.0,49206603.0,57621581.0,75845045.0,95374374.0,89377451.0,80305834.0,87672264.0,73906624.0,75700337.0,94993937.0,171035517.0,176822220.0,138080846.0,160889060.0,154943390.0,109420570.0,82948925.0,86141141.0,78474033.0
Moldova,971804.0,7536438.0,4070124.0,9182192.0,6724341.0,4478842.0,9578203.0,9028275.0,21119822.0,12981201.0,23045456.0,80764065.0,34239481.0,27638870.0,27543755.0,25165682.0,25411607.0,16224285.0,17255735.0,10044883.0
Switzerland,111244812.0,124183292.0,144327388.0,163724026.0,220546116.0,299163544.0,238802776.0,281460504.0,223666348.0,274373715.0,334747634.0,518485837.0,567808492.0,501894518.0,331875524.0,362770854.0,393931739.0,312230332.0,232878754.0,222574939.0,137280786.0
Portugal,39690365.0,54073581.0,47501207.0,47342444.0,51456408.0,62438601.0,82134009.0,111123837.0,93412441.0,170797630.0,149352238.0,174537388.0,164529462.0,203116301.0,227299914.0,203904992.0,166626132.0,145534141.0,121995058.0,150649440.0,116571155.0
Estonia,1031919.0,1673260.0,2044574.0,2390451.0,3499334.0,5955078.0,4658106.0,4109406.0,6685840.0,9977207.0,12226391.0,29433073.0,23478462.0,16708538.0,17299036.0,17406173.0,18271963.0,19503160.0,24343998.0,9898843.0
Spain,121345049.0,127146920.0,138982082.0,152906069.0,174057179.0,230463727.0,296709574.0,405239213.0,414820626.0,392534027.0,458711151.0,615804657.0,601578751.0,517872638.0,547095919.0,569025684.0,657518824.0,550726911.0,534738318.0,545183318.0,468555893.0
Italy,240701492.0,266594954.0,292464698.0,329394482.0,398234061.0,578843724.0,629999946.0,867214341.0,611946503.0,842434181.0,898639093.0,916991334.0,1271226285.0,1208799400.0,1026364421.0,849565270.0,919404785.0,821933908.0,483674198.0,421611325.0,386996883.0
Malta,2118931.0,2297143.0,2609171.0,2710051.0,3113685.0,3350991.0,4205044.0,11887758.0,6560166.0,9780105.0,15207064.0,27282734.0,18048297.0,8102832.0,4641109.0,9489867.0,24767610.0,4223016.0,5188238.0,3709512.0,4295646.0
Netherlands,109621197.0,126796050.0,155806823.0,197218882.0,249895129.0,267541420.0,326667610.0,378517531.0,294114920.0,351280334.0,495238706.0,605470544.0,604214129.0,514513988.0,451986428.0,517362124.0,864462523.0,532837554.0,433407551.0,464758292.0,323915727.0
Iceland,7804319.0,8305570.0,8979614.0,9284334.0,10359031.0,12464310.0,16166028.0,25723169.0,20105508.0,20976842.0,11388361.0,20473355.0,28621737.0,30182058.0,28531486.0,16981699.0,19189147.0,18569827.0,10326663.0,8913278.0,11673165.0
Poland,80809549.0,89432444.0,119922384.0,144604422.0,174462202.0,189745979.0,210865977.0,295794126.0,308312888.0,434204576.0,313116605.0,398740776.0,554479330.0,674665765.0,660153012.0,801321310.0,689432069.0,897684171.0,838717820.0,947195758.0,935209827.0
Latvia,2036002.0,3655675.0,4214636.0,4610248.0,3866186.0,5339660.0,5551091.0,10239653.0,14559719.0,12754535.0,24237734.0,32668351.0,27027819.0,20900852.0,42940318.0,19440502.0,22552211.0,21168565.0,21683381.0,17902834.0
Serbia,20939327.0,22236027.0,23753129.0,28567228.0,33859668.0,43293087.0,72870057.0,66383561.0,91075668.0,128183432.0,217950082.0,192650756.0,124562021.0,189579369.0,195839045.0,206494656.0,141969133.0,86732097.0,84719723.0,64225460.0
United Kingdom,858107234.0,941310305.0,1070255329.0,1216559107.0,1458503636.0,1855496629.0,1855379016.0,1983388757.0,1910342265.0,2297945397.0,2592251095.0,3311585013.0,5048653062.0,5058683968.0,3942728464.0,3984922530.0,4148673336.0,3367161138.0,2082086339.0,2514265058.0,2400150858.0
Greece,79560572.0,86031105.0,93692760.0,99049516.0,104624928.0,111669528.0,131233570.0,214245194.0,252714248.0,321683982.0,203362996.0,244552389.0,266931985.0,246643029.0,321622365.0,247180561.0,245424772.0,295571510.0,210997784.0,206634902.0,208914953.0
Croatia,11791251.0,15920424.0,17387143.0,19410035.0,25043706.0,27149447.0,52893679.0,35603097.0,77565464.0,59636101.0,44339193.0,57859649.0,104010338.0,67417676.0,58418602.0,43899452.0,38255982.0,33150611.0,30550201.0,20838034.0
