Country,Beta0 (Coeff),Beta1 (GDP),Beta2 (Price),e0 (Coeff),e1 (GDP),e2 (Price),t0 (Coeff),t1 (GDP),t2 (Price),95%% Coeff. Int (Coeff),95%% Coeff. Int (GDP),95%% Coeff. Int (Price)
Afghanistan,4.44433424024,1.38972099698,-3.32245975902,3.45645561382,0.645842573033,0.283654231081,1.28580683127,2.1517952749,-11.7130625775,"[-2.81740953995, 11.7060780204]","[0.0328561007693, 2.74658589319]","[-3.91839518491, -2.72652433314]"
Albania,10.5455424417,0.641155200144,-1.03882202077,2.24440221184,0.33399661327,0.231717829439,4.69859741984,1.91964581277,-4.48313374626,"[5.83022836763, 15.2608565157]","[-0.0605456460407, 1.34285604633]","[-1.52564311575, -0.552000925783]"
Algeria,13.854282918,0.215538108426,-1.09764552863,1.53623799809,0.208608549888,0.0985754071266,9.01831808299,1.03321799869,-11.1350849124,"[10.6267666487, 17.0817991872]","[-0.222732191817, 0.653808408668]","[-1.30474477409, -0.890546283172]"
Andorra,15.2235911763,-0.33558054369,-0.915084458875,5.93313762963,0.607846220282,0.227573424295,2.56585842544,-0.552081320066,-4.02105149892,"[2.7585315624, 27.6886507902]","[-1.61261806496, 0.941456977577]","[-1.39319848175, -0.436970436001]"
Angola,11.9125413408,0.453082463547,-1.03056681464,1.37679415228,0.20604620795,0.167087487021,8.65237647984,2.19893619036,-6.16782760349,"[9.02000416139, 14.8050785202]","[0.0201954439572, 0.885969483138]","[-1.38160459877, -0.679529030513]"
Antigua and Barbuda,-8.32008208083,2.82274032718,0.68218507822,17.2245653883,1.93086077484,0.610768658413,-0.483035820833,1.46190774807,1.11692875661,"[-44.5075511387, 27.867386977]","[-1.23384763133, 6.87932828569]","[-0.600992257728, 1.96536241417]"
Argentina,18.7084041038,-0.00174446744799,-0.490310799513,2.05739389993,0.228873238984,0.0654981450995,9.09325341364,-0.00762198086474,-7.48587305439,"[14.3859799139, 23.0308282936]","[-0.48258929965, 0.479100364754]","[-0.627917296147, -0.352704302878]"
Armenia,17.3720038588,-0.212702336065,-0.528687290957,2.11603964356,0.334137894749,0.21800675463,8.20967788182,-0.63657052794,-2.42509591895,"[12.9075504555, 21.8364572621]","[-0.917671671552, 0.492266999421]","[-0.988641337949, -0.0687332439647]"
Aruba,-12.24956341,2.95044950859,0.20790591017,14.6772061979,1.50962890947,0.33085262086,-0.834597759601,1.95442038112,0.628394327449,"[-43.0852294004, 18.5861025804]","[-0.221163139892, 6.12206215707]","[-0.487189653067, 0.903001473408]"
Australia,32.783024644,-1.39118973059,-0.965123579479,2.71301731705,0.278048968267,0.110600116022,12.0836031668,-5.00339828361,-8.726243825,"[27.083186767, 38.4828625209]","[-1.97534893629, -0.80703052489]","[-1.19748580088, -0.732761358076]"
