,Price,Quantity
1992,0.645145292442,13.2339727284
1993,0.575637438535,13.466221131
1994,0.504697308809,13.7659221253
1995,0.398023263772,14.0643842322
1996,-0.39157910768,15.1769518749
1997,-0.295551031775,15.968505954
1998,-0.0441654562361,16.6096983322
1999,-0.614730659955,16.7661672722
2000,-1.08952202269,16.2642018606
2001,-1.13861261334,16.2319825733
2002,-1.36414137749,15.8491220126
2003,-1.24376864058,16.5770751749
2004,-1.32726617172,15.4089383903
2005,-1.69713470243,15.3645198919
2006,-1.98365328377,16.7198305849
2007,-2.11155523391,16.0568423941
2008,-3.75222080887,17.610390393
2009,-2.35369924387,16.3678294863
2010,-2.49771605502,16.4061320856
2011,-2.46251585418,16.6529443364
2012,-2.14326749391,16.1630877545
