,Price,Quantity
1992,-0.0307064004764,16.4622470415
1993,-0.0440623691932,16.6237092155
1994,-0.151820893164,16.736059104
1995,-0.157070707744,16.8526158902
1996,-0.222018146887,16.9916602432
1997,-0.280312572394,17.1228453283
1998,-0.344844970351,17.2674917342
1999,-0.49581520078,17.2869490451
2000,-0.645106593111,17.3186554376
2001,-1.04682881002,17.4656007418
2002,-1.2110809164,17.5853454492
2003,-1.51361674707,17.7527198297
2004,-1.65917221063,18.0336332456
2005,-1.92165577005,17.9583683571
2006,-1.90985143206,17.7919311621
2007,-2.03382144515,17.7466492685
2008,-2.14966655848,17.7783490276
2009,-2.15465543338,17.6764499944
2010,-2.36283124255,17.4111040821
2011,-2.48664041826,17.2686016004
2012,-2.40433561577,17.0162644887
