,Price,Quantity
1993,0.0580756649612,16.2828683738
1994,0.0252010737523,16.5831133712
1995,-0.0626492888831,16.671241583
1996,-0.0946248208986,16.7813007583
1997,-0.321401275434,17.0361330964
1998,-0.258558201483,17.1168672358
1999,-0.487561794639,17.7837944001
2000,-0.48136944804,17.3879431864
2001,-1.17666662023,18.1666328345
2002,-1.53425370783,17.9037716701
2003,-1.63091233893,17.6073795617
2004,-2.00176185636,17.8735307911
2005,-2.31377091209,18.460000856
2006,-2.39950904452,18.0264177967
2007,-2.45451802779,17.8831449245
2008,-2.46219449384,17.5974123951
2009,-2.51304622682,17.4598104982
2010,-2.81938753767,17.3165717058
2011,-2.83445315489,17.2348818229
2012,-2.5010505386,16.8522904326
