,Price,Quantity
1992,0.248929004071,19.28414884
1993,0.174993230919,19.4263174103
1994,0.00419113806581,19.5969546431
1995,-0.0547455396241,19.7299023496
1996,-0.225896767631,19.9140422658
1997,-0.282106528027,20.0332432518
1998,-0.366023978527,19.9113171653
1999,-0.509521472576,19.7460705225
2000,-0.668551623408,19.7826587339
2001,-1.17402711394,20.0455841389
2002,-1.29840884441,19.9457453646
2003,-1.52022197566,20.0445619579
2004,-1.99073601075,20.3251051619
2005,-2.22464353592,20.0131271835
2006,-2.63401588761,19.7562517062
2007,-3.0091463476,20.3837753929
2008,-3.13830633558,20.5095004702
2009,-2.97800564537,20.1074392644
2010,-2.89235628752,19.6648136432
2011,-3.16973058462,19.5184128187
2012,-2.72880177796,19.2808593516
