,Price,Quantity
1993,0.573290759038,13.7836937283
1994,0.427982937033,14.3382062529
1995,0.0259090808575,14.9542146546
1996,-0.114916974305,15.3720534729
1997,-0.197968549812,15.4046806589
1998,-0.279294097383,15.9805065512
1999,-0.411759937884,16.2535918122
2000,-1.00867976419,16.0839008149
2001,-1.68810539751,16.6654130369
2002,-2.06633046871,17.5136161947
2003,-2.39212315826,18.3793866276
2004,-2.65273384325,18.7040634273
2005,-2.96717412575,18.811864504
2006,-2.79747124414,18.8243645665
2007,-2.99846036566,19.1864943077
2008,-3.09035541082,19.3786323056
2009,-3.01393372781,19.0725310412
2010,-3.01380389497,18.9118583025
2011,-3.13503996718,18.9631261728
2012,-2.96838631426,18.9237265372
