,Price,Quantity
1992,0.521637399367,15.644919314
1993,0.492241024138,15.7663105892
1994,0.381503432458,16.025583134
1995,0.399196330277,16.1860615419
1996,0.0837421643801,16.641141641
1997,0.0642915954301,16.8348403569
1998,-0.134474630151,17.0120416688
1999,-0.244446594213,17.3429038138
2000,-1.07673180038,17.4050070121
2001,-1.35370974755,17.9797334684
2002,-1.65989532879,18.3521119147
2003,-1.91884900339,18.2490805633
2004,-2.05853293848,18.7224775335
2005,-2.1884137706,19.1155777277
2006,-2.37004170499,19.5550712406
2007,-2.52460889985,19.6859841345
2008,-2.65980332444,19.9200255352
2009,-2.47067155216,19.6389544659
2010,-2.57796723828,19.312794252
2011,-2.90743553392,19.4917391196
2012,-2.5562138216,19.4162963875
