,Price,Quantity
1993,0.544808616502,16.3131739929
1994,0.393092543985,16.8963959205
1995,0.0955399814677,17.1959481044
1996,0.0122406192344,17.5442467489
1997,0.0160760248299,17.7515536377
1998,-0.0915482959576,17.7493906083
1999,-0.623049059273,18.2748138321
2000,-0.649984426207,18.5343071171
2001,-1.35621153246,18.7276344498
2002,-1.76355621401,18.8281035479
2003,-2.00835005011,19.3553585605
2004,-2.29176600955,19.2400119815
2005,-2.37368858849,18.9216317982
2006,-2.2006177801,18.9385814959
2007,-2.35353642006,19.0268686843
2008,-2.36542664301,19.2795730694
2009,-2.17924803483,18.9715239767
2010,-2.3903609044,18.6495907731
2011,-2.59298110052,18.6154296849
2012,-2.42205880605,18.4083022252
