,Price,Quantity
1992,0.288986874946,17.0418686408
1993,0.230099959141,17.1922208976
1994,0.0812938930116,17.3858435538
1995,-0.0222003036618,17.6563697944
1996,-0.282350997266,18.0857345404
1997,-0.926375278028,18.6707501275
1998,-0.905585068089,18.2749983865
1999,-0.583044359038,18.5579444815
2000,-0.740823722857,18.4064017729
2001,-1.01399849918,18.6085551219
2002,-1.2047510092,18.5151658744
2003,-1.62684783825,18.9257067846
2004,-2.34510915165,19.4071377439
2005,-2.43960192822,19.3719536807
2006,-2.37009671357,19.2800874455
2007,-2.31244951739,19.0001929811
2008,-2.57169750685,19.3512602829
2009,-2.53217997094,19.0678493242
2010,-2.68093345859,18.6715004643
2011,-2.89822616759,18.7090301962
2012,-3.05112170639,18.4526783079
