,Price,Quantity
1992,1.1506264757,12.4213936806
1993,1.09422975213,13.1502625508
1994,1.02196731891,13.6470824388
1995,1.08965563389,14.0687176385
1996,1.08316761746,14.1072289734
1997,1.61364661205,13.5278991497
1998,0.0814749842013,14.4072167537
1999,0.235776183918,14.6093212907
2000,0.250904081436,14.8130280347
2001,-0.854616102721,14.7648503049
2002,-1.36070428706,14.6858746219
2003,-2.03617636901,16.1196898795
2004,-2.70429019366,17.0178328866
2005,-2.85426025515,17.5116095136
2006,-2.89786824261,17.6227307144
2007,-3.02590102279,17.577316002
2008,-2.99715670228,17.0978777809
2009,-3.0837124412,17.6009676156
2010,-3.31387116296,17.1916539259
2011,-3.53012303517,17.1479494335
2012,-3.54695373909,17.3528734516
