,Price,Quantity
1992,0.299787916925,14.9747631546
1993,0.286149424176,16.1758329083
1994,0.302100604341,16.2344192221
1995,0.296621868942,16.2815597686
1996,0.0810511092465,16.6050837245
1997,0.154029900436,16.3026959428
1998,-0.316833214334,15.1903017607
1999,-0.482116601022,16.0825211144
2000,-0.165719487243,16.6981463592
2001,-0.573249940449,16.8096656384
2002,-0.895253669911,17.5133525532
2003,-0.943708611744,17.8061856184
2004,-1.83856242631,17.7488419584
2005,-1.74964866395,17.3193772472
2006,-2.01563030606,17.7630017832
2007,-2.32502377757,18.1787311371
2008,-2.65702862579,18.3310177637
2009,-2.55629946264,18.2371897717
2010,-2.19606347071,17.343349636
2011,-2.8671846724,17.4028070746
2012,-3.1911987546,17.2677719611
