,Price,Quantity
1992,-0.10266823649,17.4470807633
1993,-0.1676178137,17.5140185337
1994,-0.28113253999,17.6287071208
1995,-0.332743534521,17.7301357747
1996,-0.580654539171,17.9351104525
1997,-0.752590182598,18.1999835354
1998,-0.987166085489,18.3734921506
1999,-0.930907860727,18.4110184742
2000,-1.17383406929,18.4278059691
2001,-1.29445503891,18.2470151678
2002,-1.63829422514,18.5412680661
2003,-1.828199625,19.0035899612
2004,-2.27228408816,18.9575432569
2005,-2.24911338435,18.8435639524
2006,-2.42342579273,18.8409465461
2007,-2.42273822874,18.8228729352
2008,-2.49775121754,18.771998545
2009,-2.43423562879,18.9152800421
2010,-2.56611850714,18.9134259802
2011,-2.57801243073,19.0124273911
2012,-2.34353906918,18.5320983096
