,Price,Quantity
1992,0.546365728237,14.6296050958
1993,0.510262346346,14.495395685
1994,0.426982976343,14.8067028042
1995,1.6118317116,15.0343322696
1996,0.166198177029,15.1342493178
1997,-0.122265491414,15.6403065938
1998,-0.542811087928,16.409443571
1999,-0.711935428506,16.3997381971
2000,-1.01888487272,16.5557952019
2001,-1.26093738787,16.3954806147
2002,-1.98151199671,17.0246455748
2003,-2.06751429283,17.5002110674
2004,-1.93927651149,17.6831742993
2005,-1.98351131896,17.0957834121
2006,-1.96262696472,16.9618458831
2007,-2.07349901081,17.7239597449
2008,-1.9454096597,17.5985626133
2009,-1.8992722205,17.2069969738
2010,-1.86268325277,16.2144234038
2011,-1.50771997078,15.9169318895
2012,-1.83091116258,15.6343005551
