,Price,Quantity
1992,0.112008890422,15.9334903684
1993,0.114729096507,16.0536890678
1994,0.0203027310003,16.2567008376
1995,0.0261844084111,16.5206756679
1996,-0.204300561324,16.6747640138
1997,0.0518039785852,16.3080594314
1998,-0.179521035775,16.7072990895
1999,-0.247529584024,16.9175486552
2000,-0.660066902118,17.2162415976
2001,-1.16512891133,17.3109405997
2002,-1.47178228422,17.1410371058
2003,-1.7323512947,17.6184312783
2004,-1.98557547551,17.9272506043
2005,-2.19935278787,17.7477666078
2006,-2.00044374503,17.5746029423
2007,-2.39179594263,17.9893319139
2008,-2.76047841465,18.1612966793
2009,-2.80152995551,17.9558524674
2010,-3.15824454676,17.7209959799
2011,-3.08362983273,18.0814854933
2012,-3.22263281013,18.1856029622
