,Price,Quantity
1992,-0.149852450204,12.5598654401
1993,-0.195260831378,11.6701001393
1994,-0.113220413216,11.8172950236
1995,-0.42759404679,13.1106024885
1996,-0.643985716617,13.2956155985
1997,-0.552643802279,12.9172660098
1998,-1.08221291815,13.0775521866
1999,-1.30170750508,12.3972217909
2000,-1.52784109921,11.5710905941
2001,-1.64328793072,12.8104077379
2002,-3.26992920742,15.5788201399
2003,-2.49593170155,14.3090506439
2004,-2.44813418071,15.3012655647
2005,-3.36309240517,15.2060048371
2006,-2.83874460382,14.9266753993
2007,-2.21314023712,13.6374311903
2008,-2.21094476172,13.6780985024
2009,-2.29779869194,13.608314172
2010,-2.50052887032,13.4967615333
2011,-2.90149598863,13.9766604007
2012,-2.74935463651,13.3563851458
