,Price,Quantity
1992,-0.187031969972,21.106732891
1993,-0.143627457455,21.2033662096
1994,-0.210095735403,21.3702253839
1995,-0.302807699648,21.5572157203
1996,-0.426189989228,21.7217112765
1997,-0.531558446673,21.8700012286
1998,-0.650251372095,21.9580929322
1999,-0.815493635436,22.2456748
2000,-0.786239826931,22.5598461545
2001,-1.37124111055,22.4804877494
2002,-1.39417972349,22.4147746068
2003,-2.18642268364,22.3514534628
2004,-2.50054081158,23.068666789
2005,-2.7605057657,23.403520533
2006,-2.66389755457,23.4903597174
2007,-2.70187880049,23.3362733978
2008,-2.85565681926,23.2904069484
2009,-2.88127035691,23.1515536423
2010,-2.80974200169,22.9208135951
2011,-2.74985727832,23.2736413442
2012,-3.72543472737,23.4297292531
