,Price,Quantity
1993,0.488053379567,17.8117648896
1994,0.41915288968,18.1488584904
1995,0.284308970062,18.3462393562
1996,0.0442574867127,18.6270523329
1997,-0.064474498588,18.8472104409
1998,-0.568073012597,19.0642332656
1999,-0.644822202573,19.2477286321
2000,-1.01963711485,19.2124046633
2001,-1.50941494325,19.1547405565
2002,-1.60947128983,18.9925569393
2003,-1.60359941603,19.6358431278
2004,-2.21640136551,19.8603504081
2005,-2.47039443407,19.8285027412
2006,-2.65909294137,19.8354587713
2007,-2.78729051219,19.8628452871
2008,-2.80951173298,20.0344851195
2009,-2.79932438684,19.5911978372
2010,-2.84139244633,19.2171980086
2011,-3.12702143285,19.5084773905
2012,-2.93193593001,19.3215201688
