,Price,Quantity
1992,0.149172324941,13.7738069249
1993,0.0721378657852,13.9266055003
1994,-0.0595783250521,14.1195946292
1995,-0.114686164893,14.2459420623
1996,-0.27786896079,14.4970556943
1997,-0.319403285715,14.4458345454
1998,-0.342895521803,14.2844085762
1999,-0.582821317921,14.3868623516
2000,-1.02791047396,14.9018059711
2001,-1.40582730994,15.1735090915
2002,-0.781071221804,15.1079210716
2003,-1.42444924817,16.2186114399
2004,-3.11635527681,17.0144499258
2005,-2.99481395296,17.0451879157
2006,-2.99429814109,17.2548553526
2007,-2.80511220608,17.7557489005
2008,-2.39226488283,17.3317604359
2009,-2.56969832264,17.1352844486
2010,-2.75962645274,16.9254135283
2011,-2.95657365286,16.5369616974
2012,-2.98294292404,16.6291136962
