,Price,Quantity
1993,-0.0250092631521,16.8571396234
1994,-0.0546363072448,16.9172243693
1995,0.399658264852,16.9832248271
1996,-0.193319606308,17.1677707446
1997,-0.120465481036,17.3377351295
1998,-0.389262488345,17.5835035266
1999,-0.698730967665,18.1041883719
2000,-0.676044471498,18.0109600085
2001,-1.29166163782,18.3272012354
2002,-1.76015427918,18.6689728585
2003,-1.94254733193,19.1997766129
2004,-2.06083416589,19.0763895532
2005,-2.23191048828,18.6403143105
2006,-2.27732451993,19.0603183286
2007,-2.3395016103,19.0928036808
2008,-2.37172136623,19.1457850911
2009,-2.4010829695,18.7711202187
2010,-2.22695967034,18.2783345809
2011,-1.97217297111,18.2548589897
2012,-2.07699758819,17.9779102633
