,Price,Quantity
1992,0.0247448555908,19.0818595117
1993,-0.0502324055833,19.2368289936
1994,-0.126668074282,19.3901977554
1995,-0.144767858707,19.5115543797
1996,-0.314694445206,19.6164444103
1997,-0.266215120612,19.5463337416
1998,-0.422228515935,19.3627478288
1999,-0.583317170269,19.7392498183
2000,-0.999112359303,19.9122796494
2001,-1.47888410455,20.0317659229
2002,-1.7147233595,19.8283391916
2003,-2.27630615008,20.6581945467
2004,-2.47099455941,21.2050010945
2005,-2.67202899699,21.2570853957
2006,-2.78071926395,21.5022413807
2007,-2.73772032599,21.6656998216
2008,-2.76184486751,21.8653453471
2009,-2.81916415668,21.8338556004
2010,-3.12381259455,21.4913001879
2011,-3.3403176658,21.4640759494
2012,-3.24597023562,21.627942843
