,Price,Quantity
1992,0.0705881060631,18.3890888643
1993,0.073292043109,18.4583059542
1994,0.0345724193143,18.5824704661
1995,0.0389401875673,18.6804441753
1996,-0.0483730931348,18.7849175042
1997,-0.111534925474,18.7705623926
1998,-0.292747388152,18.9023042193
1999,-0.526681404855,19.177531688
2000,-0.594008923519,19.3936811614
2001,-1.09485754913,19.8404655348
2002,-1.20766589936,20.7274016606
2003,-1.67140661696,21.1906641089
2004,-1.94711699824,21.8297858047
2005,-2.23712167543,21.8298886485
2006,-2.58992489201,21.8132980007
2007,-2.41406790273,21.633162904
2008,-2.40103721149,21.4738887494
2009,-2.38417134644,21.2278095186
2010,-2.37861373769,21.1954286853
2011,-2.14324604247,20.9134701298
2012,-2.21276826907,21.3539099679
