,Price,Quantity
1992,-0.048778595443,18.7504431485
1993,-0.0623585265326,18.9053960673
1994,-0.062828412131,19.0510597288
1995,-0.0932692186274,19.1715457657
1996,-0.219765978294,19.3372054085
1997,-0.35814365967,19.4877755953
1998,-0.456490149688,19.6341411285
1999,-0.583007100726,19.8495965149
2000,-0.698340038056,19.6306443893
2001,-1.13982056366,19.88750392
2002,-1.3058866785,20.2289475673
2003,-1.4505592784,20.0494631336
2004,-1.88681892328,20.5784043277
2005,-2.21943700997,20.6105780926
2006,-1.87244901336,20.602860411
2007,-2.22317736441,20.6450617936
2008,-2.13745556865,20.6249180346
2009,-2.1317031158,20.4881015831
2010,-2.12933361051,19.9921261758
2011,-2.18337146207,19.7570739412
2012,-2.02658445418,19.7874716685
