,Price,Quantity
1992,-0.0749110839993,19.2990681013
1993,-0.10019715,19.4012410383
1994,-0.133802425672,19.4938545268
1995,-0.167679638497,19.6127666239
1996,-0.406309072297,19.8025504834
1997,-0.497156218403,20.1765430924
1998,-0.563897115516,20.2612302916
1999,-0.74822993422,20.5807967256
2000,-0.806522318523,20.2321554233
2001,-1.29363974966,20.5518060937
2002,-1.59118968528,20.616392058
2003,-1.54293553721,20.6366085798
2004,-1.93287295031,20.9632478503
2005,-2.20864002305,20.9128934726
2006,-2.3969990797,20.7492887068
2007,-2.51582348633,20.5602353296
2008,-2.69248994751,20.6392370458
2009,-2.63743786414,20.5271705459
2010,-2.70109479532,19.9969220934
2011,-2.83050383197,19.8595944168
2012,-2.89587953905,19.7739271967
