,Price,Quantity
1992,-0.119286770481,19.4578864481
1993,-0.171579053837,19.5550414583
1994,-0.258812498289,19.7014713819
1995,-0.385624523715,19.887434033
1996,-0.667047092005,20.0967233347
1997,-0.629530718833,20.2197320083
1998,-0.879488166943,20.3325185726
1999,-1.21312085135,20.3501021361
2000,-1.08986728444,20.3086204114
2001,-1.36531047799,20.6581044275
2002,-1.72288206143,20.5014680272
2003,-1.56560849395,20.5212743195
2004,-1.94726250797,20.6315823035
2005,-2.21371413975,20.7087646816
2006,-2.35893768959,20.5941190408
2007,-2.67567709452,20.7287402559
2008,-2.44856832723,20.5651105037
2009,-2.74726159568,20.6708774347
2010,-2.93650977893,20.4023416643
2011,-3.09775988683,20.3954482482
2012,-3.08143154801,20.1167883398
