,Price,Quantity
1992,0.0872320142869,15.4718173615
1993,0.0794769093119,15.6946827403
1994,0.0416766154015,15.9754319425
1995,-0.0738792757968,16.2340933605
1996,-0.147447929052,16.4386571229
1997,0.0021296989495,16.4811628011
1998,-0.313778327022,16.6369187297
1999,-0.864684468117,17.3656406581
2000,-1.06943330963,17.2032140046
2001,-1.68183002294,17.7507225095
2002,-2.05377017676,17.964605345
2003,-1.94722713651,18.3241384554
2004,-2.23332323491,18.2962908799
2005,-2.10549741176,18.2752744718
2006,-1.97313545388,18.2744166216
2007,-2.06335965566,17.816663942
2008,-1.87129990771,18.4777770875
2009,-1.74013111166,18.5425184992
2010,-1.71355548686,18.3629338805
2011,-1.97080796033,18.5592127564
2012,-2.1201614165,18.3308398951
