,Price,Quantity
1992,0.154212575186,18.0708841044
1993,0.198867458888,18.1732553094
1994,0.0691458344006,18.3200990913
1995,0.0209860296936,18.4597909895
1996,-0.121113476651,18.6028167585
1997,-0.101391788522,18.694465682
1998,-0.185549642068,18.6862755922
1999,-0.337342847194,18.7323197292
2000,-0.494743993548,18.7203311444
2001,-0.844724920832,19.2272573324
2002,-1.48921535913,19.2775429229
2003,-1.63546977429,19.9049372267
2004,-1.91735320865,20.0073059562
2005,-2.09491367616,20.1298131528
2006,-2.06332023089,19.8863628452
2007,-2.23770380697,19.7532966078
2008,-2.34189165249,19.6867701201
2009,-2.35311897432,19.8909647487
2010,-2.32076688615,19.2283914141
2011,-2.84454864821,19.4011241725
2012,-2.85623672254,19.6464427745
