Country,Beta0 (Coeff),Beta1 (Price),e0 (Coeff),e1 (Price),t0 (Coeff),t1 (Price),95%% Coeff. Int (Coeff),95%% Coeff. Int (Price)
Brazil,19.4729665658,-0.60383870885,0.10178573797,0.0623280101898,191.313311218,-9.68807935648,"[19.2599265678, 19.6860065637]","[-0.734292733441, -0.473384684259]"
Canada,21.50431113,-0.439291105906,0.114368169737,0.0520627600804,188.027063645,-8.43772218814,"[21.2649357997, 21.7436864603]","[-0.548259715094, -0.330322496719]"
China,19.3108323879,-0.587276398017,0.105224851543,0.058015468815,183.519692399,-10.1227553619,"[19.0905942425, 19.5310705333]","[-0.708704169775, -0.46584862626]"
Germany,20.4931785037,-0.208089131902,0.107009570821,0.0572981634282,191.507902952,-3.631689385,"[20.2692048979, 20.7171521095]","[-0.328015566231, -0.0881626975738]"
Mexico,21.3922774073,-0.638822091747,0.104189872398,0.0538209219044,205.320122915,-11.8694007673,"[21.1742054981, 21.6103493164]","[-0.751470575923, -0.52617360757]"
Poland,18.6428922949,-0.553585458035,0.0814686471085,0.0395645870237,228.835177171,-13.9919432927,"[18.4723764569, 18.813408133]","[-0.636395090379, -0.470775825692]"
Vietnam,18.4481331053,-0.473122528415,0.216053545022,0.120699055187,85.3868567787,-3.91985279156,"[17.9959278385, 18.9003383721]","[-0.725748554267, -0.220496502564]"
