,Price,Quantity
1992,-0.937077126286,21.5239618557
1993,-0.886945324699,21.6370632964
1994,-1.03315957393,21.7483302584
1995,-1.07533770478,21.8383838627
1996,-1.22243652407,21.9655110903
1997,-1.18148114815,22.0898895757
1998,-1.17268009775,22.0740786137
1999,-1.27109004229,22.1800544043
2000,-1.33139518104,22.2542635745
2001,-1.67486619189,22.3155859946
2002,-1.65313419661,22.3023041061
2003,-1.83482774723,22.4268672586
2004,-1.93153610377,22.4189888347
2005,-2.52822436672,22.9128215842
2006,-2.57145373707,22.9929618981
2007,-2.56211804529,22.8611486448
2008,-2.7877136023,22.972533869
2009,-2.9091525134,22.8330741288
2010,-3.66535431389,22.8083867157
2011,-3.79800884984,22.8114127375
2012,-3.67396428672,22.9422100939
