,Ratio,Price,Quantity
1993,-0.0250092631521,-0.0263517740317,16.8571396234
1994,-0.0546363072448,0.124477742821,16.9172243693
1995,0.399658264852,0.424382899613,16.9832248271
1996,-0.193319606308,0.432653735159,17.1677707446
1997,-0.120465481036,0.771363443193,17.3377351295
1998,-0.389262488345,0.804460282175,17.5835035266
1999,-0.698730967665,1.38170451622,18.1041883719
2000,-0.676044471498,1.09635134939,18.0109600085
2001,-1.29166163782,1.58763347645,18.3272012354
2002,-1.76015427918,2.18075579398,18.6689728585
2003,-1.94254733193,1.66156896765,19.1997766129
2004,-2.06083416589,1.44911571447,19.0763895532
2005,-2.23191048828,1.68425658514,18.6403143105
2006,-2.27732451993,2.33534780177,19.0603183286
2007,-2.3395016103,2.43129247424,19.0928036808
2008,-2.37172136623,2.53072041717,19.1457850911
2009,-2.4010829695,2.32418812401,18.7711202187
2010,-2.22695967034,1.94981140565,18.2783345809
2011,-1.97217297111,2.11565196035,18.2548589897
2012,-2.07699758819,1.80242307008,17.9779102633
