,Ratio,Price,Quantity
1992,-0.070805003507,0.00902403577831,16.1587625294
1993,-0.0415702676122,0.0150211408829,16.2425401828
1994,-0.126326921244,0.0959266127791,16.3687125694
1995,-0.144882575188,0.0153279117501,16.426029294
1996,-0.208618014362,0.810422822289,17.2248073507
1997,-0.362327859442,1.49419006645,17.9651681388
1998,-0.503744963782,1.69421037715,18.164057371
1999,-0.586927908741,1.76525469624,18.1146520501
2000,-0.794030987394,0.981278061993,17.2760562336
2001,-0.856711514662,0.711654254658,17.0760673363
2002,-1.26541546859,0.84928114521,17.3321474016
2003,-1.28603958004,0.681968569725,17.345104819
2004,-1.54038981793,0.830164569086,17.5726363617
2005,-1.85603408196,0.619809144516,17.3598857803
2006,-1.97839054496,0.883735240973,17.3350453993
2007,-2.22996900378,1.40310099582,17.5865039348
2008,-2.2680179932,1.677925514,17.536835324
2009,-2.33227933847,2.57764895613,17.7119958966
2010,-2.31105270799,2.85850725341,17.1946242467
2011,-2.5363780364,5.35301653445,17.1442401806
2012,-2.17778563765,2.07477941218,16.9638148516
