,Ratio,Price,Quantity
1992,0.32616227379,0.193139366687,14.3726942479
1993,0.272175104069,0.494562214726,14.6695930648
1994,0.139631095799,1.08013412883,15.2196639922
1995,-0.0149371099108,1.30705260042,15.5032081124
1996,-0.0378208923211,1.67953558655,15.8695859572
1997,-0.0436038575874,1.46843496473,15.8088657492
1998,-0.639281889953,1.59256109087,16.1576303533
1999,-0.574420863886,1.9474856011,16.374984259
2000,-1.03203153214,2.55494177105,16.8161543005
2001,-1.08474714138,1.60438644482,16.0368777864
2002,-1.05992773285,2.21093309569,16.0687614888
2003,-1.48696724822,0.8933741905,15.9692830648
2004,-1.94858665834,1.24469777721,16.690155292
2005,-1.91572942859,2.36530060771,16.3846234666
2006,-1.90544035149,2.45675325471,16.3109401469
2007,-2.19745971344,2.98717482772,16.8282868534
2008,-1.8020997979,2.66768135838,16.5017918599
2009,-1.84371590899,2.03050160771,16.2530879759
2010,-1.62651375977,2.05130944389,15.5178949498
2011,-1.54363039234,2.27837695508,14.7774027565
2012,-1.55983318246,0.874938580716,14.7496364928
