,Ratio,Price,Quantity
1992,0.183058814213,-13.815510558,13.6760139804
1993,0.137547278572,0.423753313723,13.9012340226
1994,0.134855404651,0.191785365043,13.9870870932
1995,-0.474143989872,0.83653585967,14.5966626634
1996,-0.560941202109,1.11288823839,14.4798121769
1997,-0.0676036012163,0.888424680067,14.0354377423
1998,-0.0775319825287,3.79074335103,13.8712886307
1999,-0.801260464594,4.45838148807,14.739208985
2000,-0.305798060786,0.0292010924924,13.9755311191
2001,-0.254038497586,1.00857759898,14.8602792855
2002,-1.30318013584,2.24048874417,15.5990777284
2003,-2.48540431728,4.02446270681,16.1246191267
2004,-2.40785047248,2.54906065099,16.9207915245
2005,-2.29879372729,2.80760513453,17.5701249422
2006,-1.90228652162,3.96007125654,17.6182587747
2007,-1.99957886046,3.9593691492,17.639131001
2008,-1.95165901302,4.37197371133,18.1264744483
2009,-1.87010514126,3.77225553626,17.9852178477
2010,-1.70794431965,2.73623498699,17.7231918518
2011,-1.60083501237,4.80471945356,18.0398256304
2012,-1.76711562474,2.66410491519,17.719840165
