,Ratio,Price,Quantity
1993,0.557672864668,0.717584069038,14.37585351
1994,0.415787642913,0.315935195811,14.7905893085
1995,0.350907989806,1.06316443316,15.4783100744
1996,0.156117583245,1.25161075058,15.6678099395
1997,0.032612326139,1.25552019098,15.7733358673
1998,-0.642175129398,1.89416398169,16.5373971926
1999,-0.352875845815,2.5209592145,16.8012636042
2000,-0.449455600432,2.05920068415,16.5985699583
2001,-1.08723116144,1.48077428327,16.7131966673
2002,-1.74236694634,1.86916538105,17.0842980893
2003,-1.77372772686,1.62872028508,17.1841631912
2004,-1.85744417826,1.70663505371,17.6025891512
2005,-2.08022470221,2.08469182196,17.6234941969
2006,-1.72157425013,2.16718064821,17.7615042307
2007,-1.81557636032,2.88829626997,18.4007430321
2008,-1.86069346601,2.8609482207,18.4064953148
2009,-1.66826297822,2.56692943905,17.6824065656
2010,-1.5758548389,3.2527198034,16.7651774268
2011,-1.7558680881,3.83952723354,17.2048273777
2012,-1.51478602109,1.78405661585,17.3098302126
