,Ratio,Price,Quantity
1992,0.534163819339,0.771220612859,13.249295543
1993,0.454144946526,0.564296267655,13.2652907393
1994,0.362297855955,0.63244376144,13.4494877731
1995,0.332526593944,0.443298426283,13.4413449692
1996,0.132008933701,0.39037312501,13.7665597809
1997,-0.0706438442276,0.930317779334,14.3006281438
1998,-0.0396446384268,0.967471005633,14.2372124662
1999,-0.449968161638,1.45788083047,14.2500553892
2000,-0.458782919602,0.844636233805,13.3946673101
2001,-0.921568699087,-0.637144056595,14.2362963691
2002,-1.74769511501,8.82925630823,15.3062286711
2003,-2.10043872714,14.5503610646,15.9366554257
2004,-2.29448204496,4.26222556442,16.8677854864
2005,-2.39221888538,3.59020482059,16.6720211657
2006,-2.16369015013,3.44526090052,16.6533174531
2007,-2.44212888429,5.61976785865,16.8641339088
2008,-2.5949988563,4.5378817992,17.7518430197
2009,-2.318023064,2.75505099643,17.4247079102
2010,-2.07924937927,6.37758996166,16.7032030632
2011,-1.92348751406,9.5561120362,16.8982437668
2012,-1.88767815752,2.81958661989,16.2572686373
