,Ratio,Price,Quantity
1992,0.134594701773,-0.286309906689,19.8636960232
1993,0.0670786570974,-0.232189668301,19.9513719981
1994,-0.101449544494,-0.128057122472,20.1132421336
1995,-0.159002590905,0.0413288647592,20.3390308441
1996,-0.441551809898,0.18806809398,20.5444775863
1997,-0.640065998464,0.377890420462,20.7239693484
1998,-0.930708336868,0.337464578298,20.6645075042
1999,-0.964994011883,0.447032358216,20.6894604693
2000,-1.16511617384,0.493543532529,20.7392958225
2001,-1.41623065504,0.441989151951,20.7893275624
2002,-1.3023362403,0.311392596594,20.7003743109
2003,-1.45274589553,0.033902908417,20.7687647748
2004,-2.01733110643,0.171517970098,20.9363127887
2005,-2.33962978739,0.0999228609483,20.952074138
2006,-2.38001677438,0.0357766396612,20.7764148257
2007,-2.48525515277,-0.0930134945873,20.64833068
2008,-2.48947388713,-0.0940778502312,20.5246269647
2009,-2.37248350171,-0.225090303876,20.2472561836
2010,-2.58641064948,-0.316554693266,20.0583329435
2011,-2.79155979749,-0.168987401879,20.0596126352
2012,-2.8839707374,0.245479318643,19.9728956073
