,Ratio,Price,Quantity
1992,0.438888106634,1.62811302173,18.1112497626
1993,0.401621251243,1.63729279169,18.1742802084
1994,0.329437163432,1.72774271121,18.3602993301
1995,0.318412831797,1.86856722808,18.5979139772
1996,0.09491992824,2.01738551289,18.8327357973
1997,-0.0429940935958,2.19570504164,19.057474814
1998,-0.1470593752,2.01889859824,19.2754797304
1999,-0.447461524042,2.99650764043,19.6818125756
2000,-0.55581623002,2.89550219113,20.0915422813
2001,-0.95139059017,3.49035532839,20.2302564965
2002,-1.38799316683,3.45343018494,20.3785940263
2003,-1.72589672518,1.78850577895,20.4211870527
2004,-1.78031375905,1.36061908944,20.3541587879
2005,-1.94388912424,1.76327055204,19.7133690674
2006,-2.3805436465,0.519012072107,20.1235321841
2007,-2.77415902813,0.562285041737,20.2047392736
2008,-2.68063630549,0.787663845174,20.2644082685
2009,-2.46072424884,0.776036901186,19.8123593316
2010,-3.13878746623,0.681237536805,19.6658680235
2011,-3.25001644717,0.480584677488,19.4125043198
2012,-3.22075677519,1.06794802359,20.0365536712
