,Ratio,Price,Quantity
1992,0.195725149818,0.406608730433,16.0341136444
1993,0.158473440503,0.207336643785,16.1623101245
1994,0.0782401917297,0.385197891627,16.4012450915
1995,0.166857029309,0.48371339163,16.5525971595
1996,0.0762213600377,0.468061432664,16.5400536669
1997,0.0740101911444,0.382023643353,16.6499374595
1998,-0.350715074647,0.426092468686,16.7867651321
1999,-0.489781683483,1.86214753463,18.1567522157
2000,-0.649984430968,1.02131818752,17.5104209643
2001,-1.0319140514,1.05376893047,17.9440624701
2002,-1.60293835193,2.44424818715,18.4601598276
2003,-1.42850068236,2.28968628731,18.2560516602
2004,-1.62297107856,1.86611549459,18.7010963369
2005,-1.70944630763,3.02082600973,18.7882941086
2006,-1.94590581743,2.42560257389,19.1169095165
2007,-1.84815562319,2.56639437244,19.4445703557
2008,-1.84298502406,1.78515939568,19.149880591
2009,-1.8050770797,2.21917962776,19.5399018773
2010,-1.79415245839,2.01898733775,19.1620063969
2011,-2.03925186233,2.80233158879,19.9402642505
2012,-2.03491804294,2.70284492622,19.7072573446
