,Population,Quantity
2005,16.2106694539,23.403520533
2006,16.2614514754,23.4903597174
2007,16.2783877479,23.3362733978
2008,16.2502345245,23.2904069484
2009,16.2559786989,23.1515536423
2010,16.2760479241,22.9208135951
2011,16.2727564007,23.2736413442
2012,16.2633532471,23.4297292531
