,Population,Quantity
2005,13.6161811847,23.1828403084
2006,13.6493532529,23.2663187009
2007,13.6296483404,23.0941429134
2008,13.615741678,23.1854736014
2009,13.6109004465,23.1053125191
2010,13.5906768291,23.085666762
2011,13.575115298,23.0674233287
2012,13.5935974993,23.1880763863
