Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Brazil,144723342.0,171444482.0,221862451.0,283012145.0,372847559.0,495323734.0,568081639.0,586400474.0,677676195.0,773678099.0,797490330.0,1028955174.0,987494941.0,1035919393.0,1156274902.0,1104166306.0,1197661757.0,1094977442.0,872698563.0,1110293426.0,957139344.0
Canada,2227090486.0,2493774583.0,2787275015.0,3049928128.0,3463380909.0,3922086328.0,3860562031.0,4292153410.0,4622786850.0,4915139608.0,4850288895.0,5493696926.0,5450585302.0,8931244503.0,9676459315.0,8481461722.0,9480793659.0,8246660181.0,8045563961.0,8069946886.0,9197615420.0
Mexico,1277308436.0,1398866844.0,1656239140.0,2012234805.0,2380887970.0,2766488494.0,3013612418.0,4053381227.0,5509242499.0,5123890871.0,4973522977.0,4709069118.0,9708380180.0,13593200999.0,14694508755.0,12439422399.0,11756224026.0,10294423956.0,8147916490.0,11772872540.0,13521066832.0
Poland,73871577.0,81571549.0,110318537.0,133378041.0,160428176.0,170558158.0,189406316.0,273116947.0,276147963.0,372841424.0,270475737.0,361947830.0,511559894.0,627336704.0,609058066.0,594510227.0,543468227.0,732003408.0,663389331.0,673427755.0,674526894.0
Vietnam,7068924.0,20600533.0,45188845.0,74384410.0,114158611.0,165175637.0,191962133.0,251772200.0,312728273.0,282580894.0,252150669.0,182867054.0,299421416.0,267569126.0,289950722.0,433326403.0,507114150.0,388436830.0,229713967.0,274490929.0,256339016.0
Germany,563077629.0,572619341.0,604096066.0,662432037.0,781808609.0,994884808.0,1153429832.0,1465872746.0,1251355310.0,886846694.0,1057377632.0,1501887198.0,2015453139.0,1631464402.0,1591399061.0,1434189570.0,1469089050.0,1417283354.0,1122578926.0,1072394647.0,995132505.0
China,68561799.0,110304861.0,169537334.0,231166116.0,298352918.0,376001978.0,418266205.0,396401328.0,500777265.0,398779259.0,395692634.0,559118872.0,1203253386.0,1268442232.0,881779820.0,1092737171.0,1359049211.0,1546940369.0,1051104866.0,929486476.0,939732978.0
